Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
8/11/2021,2099,2119.5,2082.55,2116.1,2099.04,346083,19916,726442961,176940,51.13,36.95,17.1
8/10/2021,2084.7,2112.8,2073.55,2088.4,2096.66,415981,20717,872168921,183450,44.1,39.25,3.7
8/9/2021,2076.2,2089.5,2065.8,2077.25,2075.19,236037,17835,489822313,123882,52.48,23.7,1.05
8/6/2021,2125.2,2146,2079.2,2089.05,2097.07,336073,15969,704769100,160745,47.83,66.8,-36.15
8/5/2021,2116.9,2154.6,2104.3,2133.3,2126.89,357064,16820,759437091,119937,33.59,50.3,16.4
8/4/2021,2097.6,2114.1,2087,2103.55,2104.04,297852,10348,626691300,182454,61.26,27.1,5.95
8/3/2021,2085,2091.25,2064.15,2086.9,2077.1,318185,9503,660901792,175698,55.22,27.1,1.9
8/2/2021,2047.2,2079,2041,2071.5,2066.67,406792,18388,840706318,231581,56.93,38,24.3
7/30/2021,2055.25,2068.15,2030.4,2035.4,2052.18,228312,17164,468537268,119944,52.54,37.75,-19.85
7/29/2021,2050,2074.4,2043.75,2055.25,2057.95,142646,8372,293558717,59161,41.47,30.65,5.25
7/28/2021,2060.1,2060.15,2016.6,2036.85,2033.33,207230,12774,421366638,100749,48.62,43.55,-23.25
7/27/2021,2079,2083.5,2041.2,2054.3,2061.31,271432,28303,559506080,117200,43.18,42.3,-24.7
7/26/2021,2110,2121.6,2071.7,2077.7,2090.78,378150,15713,790628037,208486,55.13,49.9,-32.3
7/23/2021,2135,2135,2102.85,2105.2,2118.66,253418,17708,536906207,125479,49.51,32.15,-29.8
7/22/2021,2111.2,2124.1,2098.8,2121,2109.33,170937,8805,360562926,92222,53.95,25.3,9.8
7/20/2021,2097.35,2108.1,2084,2093.6,2096.2,262169,18138,549559530,110936,42.31,24.1,-3.75
7/19/2021,2104,2124,2093,2099.1,2112.13,1466286,10244,3096984564,1353408,92.3,31,-4.9
7/16/2021,2085,2114.5,2085,2111.8,2104.19,333073,19969,700850042,154597,46.42,29.5,26.8
7/15/2021,2096,2096,2078.65,2083.25,2085.84,211763,11623,441704600,144020,68.01,17.35,-12.75
7/14/2021,2102.7,2106.8,2082,2086,2090.41,143306,9558,299567978,71835,50.13,24.8,-16.7
7/13/2021,2100,2103.3,2088.1,2099.55,2096.51,356025,16226,746408772,194898,54.74,15.2,-0.45
7/12/2021,2081.8,2101.75,2075.15,2084.45,2075.51,1575869,22966,3270735345,1418901,90.04,26.6,2.65
7/9/2021,2086.9,2091.2,2065.95,2073.2,2075.5,439784,35965,912773149,313195,71.22,25.25,-13.7
7/8/2021,2115,2115.8,2081,2092.9,2098.09,319555,26459,670454555,169575,53.07,34.8,-22.1
7/7/2021,2126.35,2127.75,2098.7,2110.15,2108.83,432960,26597,913038224,262669,60.67,29.05,-16.2
7/6/2021,2150,2150.05,2121,2125.95,2136.6,277840,13352,593634249,188408,67.81,29.05,-24.05
7/5/2021,2137.8,2153,2131.5,2149.9,2146.35,461608,27498,990773030,238279,51.62,21.5,12.1
7/2/2021,2099.9,2133.25,2094.25,2129.2,2120.39,227146,10753,481637997,84587,37.24,39,29.3
7/1/2021,2114.1,2122,2094.55,2097.75,2110.06,425382,25657,897582777,226151,53.16,27.45,-16.35
6/30/2021,2095,2123.5,2091.95,2110.9,2107.31,426251,20638,898243571,220468,51.72,31.55,15.9
6/29/2021,2089,2109,2083.3,2087.2,2095.45,447665,21223,938060024,182853,40.85,25.7,-1.8
6/28/2021,2124,2127.1,2081.1,2086,2100.73,663274,32467,1393361752,357358,53.88,46,-38
6/25/2021,2159.8,2159.8,2081.15,2104.3,2107.44,835596,45229,1760965783,333000,39.85,78.65,-55.5
6/24/2021,2214.8,2215,2140,2153.35,2175.06,1045454,60576,2273928925,365335,34.95,75,-61.45
6/23/2021,2249,2250,2201.45,2205.1,2219.41,674944,27954,1497978059,407464,60.37,48.55,-43.9
6/22/2021,2254.7,2260.75,2220,2226,2246.19,271039,20630,608805440,96830,35.73,40.75,-28.7
6/21/2021,2204.35,2247.7,2200.95,2237.6,2225.25,243713,12811,542323171,52315,21.47,46.75,33.25
6/18/2021,2217.25,2234.95,2184.25,2225.05,2211.21,267640,13813,591808418,65692,24.54,50.7,7.8
6/17/2021,2200.25,2235,2179.85,2215.55,2211.74,351428,24064,777266293,87887,25.01,55.15,15.3
6/16/2021,2248,2248,2206.75,2211.65,2236.64,497096,13722,1111823666,345936,69.59,41.25,-36.35
6/15/2021,2256.25,2274.5,2241.2,2249.7,2253.66,634070,27778,1428980693,322782,50.91,33.3,-6.55
6/14/2021,2214,2258.3,2196,2245.3,2232.72,386196,23705,862269158,88241,22.85,62.3,31.3
6/11/2021,2186.7,2227.9,2182.7,2213,2214.4,229252,14206,507656189,48570,21.19,45.2,26.3
6/10/2021,2192.2,2229.95,2177.2,2182.7,2200.66,268564,15962,591017792,53369,19.87,52.75,-9.5
6/9/2021,2219.9,2221.6,2158.25,2174.75,2189.99,359005,26529,786218723,115305,32.12,63.35,-45.15
6/8/2021,2224.65,2227,2198.4,2214.7,2213.18,152318,9441,337107740,42207,27.71,28.6,-9.95
6/7/2021,2205.9,2241.8,2184.6,2227.3,2215.96,615525,36724,1363979932,233667,37.96,57.2,21.4
6/4/2021,2219,2219,2183.8,2190.6,2198.46,261311,16610,574480841,75458,28.88,35.2,-28.4
6/3/2021,2222,2250,2196.1,2209.25,2220.9,760173,44276,1688268871,228310,30.03,53.9,-12.75
6/2/2021,2159.9,2209.9,2158.55,2201.3,2180.08,400317,23345,872721518,109300,27.3,51.35,41.4
6/1/2021,2164.1,2201.7,2147.35,2168.25,2176.47,916472,56064,1994673204,290019,31.65,54.35,4.15
5/31/2021,2101,2191.5,2082,2160.45,2153.03,2034450,97782,4380235120,709688,34.88,109.5,59.45
